,Planet Name,Detection Method,Orbital Period,Orbit Semi-Major Axis,Planet Radius,Planet Mass,Insolation Flux,Stellar Effective Temperature,Stellar Radius,RA [degree],Dec [degree],Habitable Zone Flag,Planet Classification
701,HD 20782 b,Radial Velocity,597.0643,1.3649,13.6,472.83,,5782.13,1.13,50.0166232,-28.8543535,TRUE,Jovians
702,HD 207832 b,Radial Velocity,160.07,0.586,14.2,177.9848,,5726.0,0.89,328.1517893,-26.0271749,FALSE,Jovians
703,HD 207832 c,Radial Velocity,1155.7,2.112,14.0,232.0159,,5710.0,0.9,328.1517893,-26.0271749,FALSE,Jovians
704,HD 20794 b,Radial Velocity,18.315,0.1207,1.45,2.7,,5401.0,0.92,49.9997666,-43.0666533,FALSE,Super Earths
705,HD 20794 c,Radial Velocity,40.114,0.2036,1.35,2.4,,5401.0,0.92,49.9997666,-43.0666533,FALSE,Super Earths
706,HD 20794 d,Radial Velocity,90.309,0.3499,2.04,4.8,,5401.0,0.92,49.9997666,-43.0666533,FALSE,sub-Neptunes
707,HD 20794 e,Radial Velocity,147.02,0.509,2.03,4.77,,5401.0,0.92,49.9997666,-43.0666533,FALSE,sub-Neptunes
708,HD 208487 b,Radial Velocity,130.08,0.524,14.2,165.265,,6067.0,1.2,329.3332489,-37.7641354,FALSE,Jovians
709,HD 208527 b,Radial Velocity,875.5,2.1,12.5,3146.4,,4035.0,51.1,329.0999413,21.239922,FALSE,Jovians
710,HD 20868 b,Radial Velocity,380.85001,0.95,13.7,397.2875,,4802.0,0.76,50.1794053,-33.72969,TRUE,Jovians
711,HD 208897 b,Radial Velocity,352.7,1.05,13.6,444.962,,4860.0,4.98,329.7490639,19.0201591,FALSE,Jovians
712,HD 209458 b,Radial Velocity,3.52474859,0.04707,15.581,232.0159,,6091.0,1.19,330.7950219,18.8842419,FALSE,
713,HD 210193 b,Radial Velocity,649.918,1.487,14.3,153.1,,5790.0,1.06,332.3951324,-41.225205,TRUE,Jovians
714,HD 210277 b,Radial Velocity,442.19,1.13,13.6,410.0007,,5538.0,1.07,332.3748117,-7.5505962,TRUE,Jovians
715,HD 210702 b,Radial Velocity,354.1,1.148,13.4,574.63664,,4951.0,4.92,332.9638643,16.0404806,FALSE,Jovians
716,HD 211810 b,Radial Velocity,1558.0,2.656,14.0,212.9461,,5652.0,1.13,334.5286724,61.1349912,FALSE,Jovians
717,HD 211970 b,Radial Velocity,25.201,0.143,3.66,13.0,,4127.0,0.57,335.5661579,-54.5596006,FALSE,sub-Jovians
718,HD 212301 b,Radial Velocity,2.24571,0.03,14.2,162.0933,,6239.0,1.16,336.8803957,-77.7183219,FALSE,Jovians
719,HD 212771 b,Radial Velocity,380.7,1.19,13.3,759.6137,,5003.0,5.27,336.762413,-17.2641046,FALSE,Jovians
720,HD 213240 b,Radial Velocity,882.70001,1.89,12.8,1773.4914,,5979.0,1.51,337.7506266,-49.4341037,TRUE,Jovians
721,HD 213472 b,Radial Velocity,17000.0,13.0,13.1,1112.39942,,5729.54,1.43,337.7069969,40.7222277,FALSE,Jovians
722,HD 213885 b,Transit,1.008035,0.02012,1.745,8.83,3254.39,5978.0,1.1,338.9837166,-59.864829,FALSE,Super Earths
723,HD 213885 c,Radial Velocity,4.78503,0.056798,4.71,19.95,,5978.0,1.1,338.9837166,-59.864829,FALSE,sub-Jovians
724,HD 21411 b,Radial Velocity,84.288,0.362,9.52,65.9,,5605.0,0.83,51.5474155,-30.6168403,FALSE,Jovians
725,HD 214823 b,Radial Velocity,1854.4,3.23,12.1,6451.949,,5933.0,2.04,340.0832062,31.7875183,TRUE,Jovians
726,HD 215152 b,Radial Velocity,5.75999,0.057638,1.19,1.819,,4935.0,0.73,340.8380941,-6.4020685,FALSE,Super Earths
