,Planet Name,Detection Method,Orbital Period,Orbit Semi-Major Axis,Planet Radius,Planet Mass,Insolation Flux,Stellar Effective Temperature,Stellar Radius,RA [degree],Dec [degree],Habitable Zone Flag,Planet Classification
0,11 Com b,Radial Velocity,326.03,1.29,12.1,6165.6,,4742.0,19.0,185.1787793,17.7932516,FALSE,Jovians
1,11 UMi b,Radial Velocity,516.21997,1.53,12.3,4684.8142,,4213.0,29.79,229.2745954,71.8239428,FALSE,Jovians
2,14 And b,Radial Velocity,185.84,0.83,12.9,1525.5,,4813.0,11.0,352.82415,39.2358367,FALSE,Jovians
3,14 Her b,Radial Velocity,1773.40002,2.93,12.9,1481.0878,,5338.0,0.93,242.6021014,43.8163621,FALSE,Jovians
4,16 Cyg B b,Radial Velocity,798.5,1.66,13.5,565.7374,,5750.0,1.13,295.4656422,50.5168243,TRUE,Jovians
5,18 Del b,Radial Velocity,993.3,2.6,12.5,3273.5,,4979.0,8.5,314.6078375,10.8391378,FALSE,Jovians
6,1RXS J160929.1-210524 b,Imaging,,330.0,18.647,3000.0,,4060.0,1.31,242.3762343,-21.0831403,FALSE,
7,24 Boo b,Radial Velocity,30.3506,0.19,13.9,289.2253,,4893.0,10.64,217.1555242,49.8446488,FALSE,Jovians
8,24 Sex b,Radial Velocity,452.8,1.333,13.4,632.46,,5098.0,4.9,155.8684866,-0.9023998,FALSE,Jovians
9,24 Sex c,Radial Velocity,883.0,2.08,13.9,273.32,,5098.0,4.9,155.8684866,-0.9023998,FALSE,Jovians
10,2MASS J01033563-5515561 AB b,Imaging,,84.0,12.3,4131.79,,,,15.8992489,-55.2658291,,Jovians
11,2MASS J01225093-2439505 b,Imaging,,52.0,11.209,7786.5,,3530.0,0.37,20.7128012,-24.6646128,FALSE,Jovians
12,2MASS J02192210-3925225 b,Imaging,,156.0,16.141,4417.837,,3064.0,0.28,34.8427046,-39.4230767,FALSE,
13,2MASS J04414489+2301513 b,Imaging,,15.0,12.6,2383.6,,2936.0,0.23,70.4371079,23.0308544,FALSE,Jovians
14,2MASS J12073346-3932539 b,Imaging,,55.0,12.9,1589.15,,2825.0,0.22,181.8890906,-39.5484399,FALSE,Jovians
15,2MASS J19383260+4603591 b,Eclipse Timing Variations,416.0,0.92,13.4,603.877,,10868.0,0.34,294.6359173,46.0664076,FALSE,Jovians
16,2MASS J21402931+1625183 A b,Imaging,7336.5,,10.31,6657.48,,2300.0,0.12,325.1218214,16.4213408,,Jovians
17,2MASS J22362452+4751425 b,Imaging,,230.0,12.3,3972.875,,4045.0,0.64,339.1025931,47.861683,FALSE,Jovians
18,30 Ari B b,Radial Velocity,335.10001,0.99,12.3,4392.4106,,6331.0,1.41,39.2412736,24.6480103,FALSE,Jovians
19,4 UMa b,Radial Velocity,269.3,0.87,12.7,2256.5,,4415.0,18.11,130.0528099,64.3280504,FALSE,Jovians
20,42 Dra b,Radial Velocity,479.1,1.19,13.0,1233.13,,4200.0,22.03,276.4975053,65.5633652,FALSE,Jovians
21,47 UMa b,Radial Velocity,1078.0,2.1,13.2,804.08,,5872.0,1.21,164.8647611,40.4304931,TRUE,Jovians
22,47 UMa c,Radial Velocity,2391.0,3.6,14.2,171.621,,5872.0,1.21,164.8647611,40.4304931,FALSE,Jovians
23,47 UMa d,Radial Velocity,14002.0,11.6,13.5,521.22,,5872.0,1.21,164.8647611,40.4304931,FALSE,Jovians
24,51 Eri b,Imaging,11688.0,12.0,13.4,635.66,,7295.0,1.49,69.4007424,-2.4738245,FALSE,Jovians
25,51 Peg b,Radial Velocity,4.230785,0.0527,14.3,146.2018,,5758.0,1.18,344.3675399,20.7690958,FALSE,Jovians
26,55 Cnc b,Radial Velocity,14.6516,0.1134,13.9,263.9785,,5172.0,0.94,133.1468373,28.3298154,FALSE,Jovians
27,55 Cnc c,Radial Velocity,44.3989,0.2373,8.51,54.4738,,5172.0,0.94,133.1468373,28.3298154,FALSE,Jovians
28,55 Cnc d,Radial Velocity,5574.2,5.957,13.0,1232.493,,5172.0,0.94,133.1468373,28.3298154,FALSE,Jovians
29,55 Cnc e,Radial Velocity,0.7365474,0.01544,1.875,7.99,,5172.0,0.94,133.1468373,28.3298154,FALSE,sub-Neptunes
30,55 Cnc f,Radial Velocity,259.88,0.7708,7.59,44.812,,5172.0,0.94,133.1468373,28.3298154,TRUE,Jovians
31,6 Lyn b,Radial Velocity,934.3,2.11,13.4,638.8383,,4938.0,5.2,97.6960311,58.1611753,FALSE,Jovians
32,61 Vir b,Radial Velocity,4.215,0.050201,2.11,5.1,,5577.0,0.96,199.596455,-18.3157745,FALSE,sub-Neptunes
33,61 Vir c,Radial Velocity,38.021,0.2175,4.46,18.2,,5577.0,0.96,199.596455,-18.3157745,FALSE,sub-Jovians
34,61 Vir d,Radial Velocity,123.01,0.476,5.11,22.9,,5577.0,0.96,199.596455,-18.3157745,FALSE,sub-Jovians
35,7 CMa b,Radial Velocity,735.1,1.758,13.4,587.9855,,4826.0,4.87,99.171276,-19.2561808,FALSE,Jovians
36,7 CMa c,Radial Velocity,996.0,2.153,13.9,276.5121,,4826.0,4.87,99.171276,-19.2561808,FALSE,Jovians
37,70 Vir b,Radial Velocity,116.688,0.481,12.6,2380.45,,5495.0,1.89,202.1064898,13.7763085,FALSE,Jovians
38,75 Cet b,Radial Velocity,691.9,2.1,13.1,953.49,,4846.0,10.5,38.0391598,-1.0350269,FALSE,Jovians
39,8 UMi b,Radial Velocity,93.4,0.49,13.6,416.3573,,4847.0,10.3,224.201685,74.9009379,FALSE,Jovians
40,81 Cet b,Radial Velocity,952.7,2.5,12.8,1684.4,,4785.0,11.0,39.4243555,-3.3963607,FALSE,Jovians
41,91 Aqr b,Radial Velocity,181.4,0.7,13.1,1017.0,,4665.0,11.0,348.9745031,-9.0878076,FALSE,Jovians
42,AB Pic b,Imaging,,260.0,12.3,4290.5,,5285.0,1.0,94.8039208,-58.0541184,FALSE,Jovians
43,AU Mic b,Transit,8.46321,0.066,4.203,57.2094,,3700.0,0.75,311.2911369,-31.34245,FALSE,sub-Jovians
44,BD+03 2562 b,Radial Velocity,481.9,1.3,12.7,2034.112,,4095.0,32.35,177.5647268,2.7601075,FALSE,Jovians
45,BD+14 4559 b,Radial Velocity,268.94,0.78,13.8,330.5432,,4864.0,0.86,318.4010002,14.6893834,TRUE,Jovians
46,BD+15 2375 b,Radial Velocity,153.22,0.576,13.8,337.21763,,4649.0,8.95,176.4820239,14.6163182,FALSE,Jovians
47,BD+15 2940 b,Radial Velocity,137.48,0.539,13.7,352.78,,4796.0,14.7,240.09564,15.5467507,FALSE,Jovians
48,BD+20 2457 b,Radial Velocity,379.63,1.05,11.6,17668.1697,,4259.0,71.02,154.186782,19.8912626,FALSE,Jovians
49,BD+20 2457 c,Radial Velocity,621.99,2.01,12.4,3963.17,,4137.0,49.0,154.186782,19.8912626,FALSE,Jovians
50,BD+20 274 b,Radial Velocity,578.2,1.3,13.0,1334.886,,4296.0,17.3,25.9203179,21.0052692,FALSE,Jovians
51,BD+20 594 b,Transit,41.6855,0.241,2.578,22.2481,,5766.0,1.08,53.6511231,20.5990205,FALSE,sub-Neptunes
52,BD+45 564 b,Radial Velocity,307.88,0.83,13.6,432.24663,,5004.0,0.81,32.9470485,45.9242187,TRUE,Jovians
53,BD+48 738 b,Radial Velocity,392.6,1.0,13.9,289.2253,,4414.0,11.0,40.7102869,49.5869395,FALSE,Jovians
54,BD+48 740 b,Radial Velocity,733.0,1.7,13.5,540.311,,4534.0,10.33,40.7425426,48.9300579,FALSE,Jovians
55,BD+49 828 b,Radial Velocity,2590.0,4.2,13.5,508.5,,4943.0,7.6,45.6406187,49.7299481,FALSE,Jovians
56,BD+55 362 b,Radial Velocity,265.59,0.78,14.0,228.83645,,5012.0,0.9,23.9636676,56.6982282,TRUE,Jovians
57,BD+63 1405 b,Radial Velocity,1198.48,2.06,13.0,1258.60049,,5000.0,0.8,271.3979337,63.6700064,FALSE,Jovians
58,BD-00 4475 b,Radial Velocity,723.2,1.48,12.0,7961.6016,,5040.0,0.84,347.7108441,0.4085612,FALSE,Jovians
59,BD-06 1339 b,Radial Velocity,3.8728,0.0428,2.85,8.5,,4324.0,0.69,88.2511811,-5.9963378,FALSE,sub-Neptunes
60,BD-06 1339 c,Radial Velocity,125.94,0.435,8.38,53.0,,4324.0,0.69,88.2511811,-5.9963378,TRUE,Jovians
61,BD-08 2823 b,Radial Velocity,5.6,0.06,3.61,12.7132,,4816.0,0.71,150.1971964,-9.5165689,FALSE,sub-Jovians
62,BD-08 2823 c,Radial Velocity,237.6,0.68,12.5,104.0,,4746.0,0.72,150.1971964,-9.5165689,TRUE,Jovians
63,BD-10 3166 b,Radial Velocity,3.48777,0.04,14.1,187.5197,,5393.0,0.91,164.6191243,-10.7704227,FALSE,Jovians
64,BD-11 4672 b,Radial Velocity,1634.0,2.36,14.1,206.5895,,4550.0,0.64,278.3688659,-11.6370481,FALSE,Jovians
65,BD-11 4672 c,Radial Velocity,74.2,0.3,4.04,15.37,,4550.0,0.64,278.3688659,-11.6370481,FALSE,sub-Jovians
66,BD-13 2130 b,Radial Velocity,714.29999,1.66,12.5,3108.3774,,4545.0,19.17,114.2884692,-13.9066703,FALSE,Jovians
67,BD-17 63 b,Radial Velocity,655.6,1.34,12.8,1620.9,,4714.0,0.69,7.1413494,-16.2273254,FALSE,Jovians
68,CFBDSIR J145829+101343 b,Imaging,10037.5,2.6,12.4,3337.1,,580.5,,224.6208333,10.2286111,,Jovians
69,CFHTWIR-Oph 98 b,Imaging,8040000.0,200.0,20.849,2479.06157,,2320.0,0.24,246.934277,-23.98115,FALSE,
70,CHXR 73 b,Imaging,,210.0,12.3,3994.486,,3099.0,,166.6193985,-77.6258725,,Jovians
71,CI Tau b,Radial Velocity,8.9891,,12.4,3686.828,,3807.0,1.88,68.4667685,22.8416192,,Jovians
72,CT Cha b,Imaging,,440.0,24.66,5403.0,,4403.0,1.68,166.0375038,-76.4553693,FALSE,
73,CoRoT-1 b,Transit,1.5089557,0.02752,16.7,327.35,,5950.0,1.11,102.0798591,-3.1021394,FALSE,
74,CoRoT-10 b,Transit,13.2406,0.1055,10.87,874.0,,5075.0,0.79,291.0636813,0.7460143,FALSE,Jovians
75,CoRoT-11 b,Transit,2.99433,0.0436,16.03,740.51,,6440.0,1.37,280.6872998,5.9376586,FALSE,
76,CoRoT-12 b,Transit,2.828042,0.04016,16.14,291.438,,5675.0,1.12,100.7656871,-1.2964437,FALSE,
77,CoRoT-13 b,Transit,4.03519,0.051,9.92,415.704,,5945.0,1.01,102.7211432,-5.0864557,FALSE,Jovians
78,CoRoT-14 b,Transit,1.51214,0.027,12.22,2415.4,,6035.0,1.21,103.4242023,-5.5360385,FALSE,Jovians
79,CoRoT-16 b,Transit,5.35227,0.0618,13.11,170.032,,5650.0,1.19,278.5246658,-6.0026026,FALSE,Jovians
80,CoRoT-17 b,Transit,3.7681,0.0461,11.43,772.29,,5740.0,1.59,278.699236,-6.612288,FALSE,Jovians
81,CoRoT-18 b,Transit,1.9000693,0.0295,14.68,1102.82,,5440.0,1.0,98.1724172,-0.0316045,FALSE,
82,CoRoT-19 b,Transit,3.89713,0.0518,14.46,352.78,,6090.0,1.65,97.0335983,-0.1707293,FALSE,
83,CoRoT-2 b,Transit,1.7429935,0.02798,16.432,1102.82,,5625.0,0.91,291.7770457,1.3836634,FALSE,
84,CoRoT-20 b,Transit,9.24285,0.09,9.416,1366.669,,5880.0,1.02,97.7204249,0.2268931,FALSE,Jovians
85,CoRoT-20 c,Radial Velocity,1675.0,2.9,12.2,5403.11,,4947.5,1.37,97.7204249,0.2268931,FALSE,Jovians
86,CoRoT-21 b,Transit,2.72474,0.0417,14.572,718.2958,,6200.0,1.95,101.0526207,-0.2991544,FALSE,
87,CoRoT-22 b,Transit,9.75598,0.092,4.88,12.2,,5939.0,1.14,280.6671392,6.2191669,FALSE,sub-Jovians
88,CoRoT-23 b,Transit,3.6313,0.048,11.77,889.9,,5900.0,1.61,279.7826586,4.3577516,FALSE,Jovians
89,CoRoT-24 b,Transit,5.1134,0.056,3.7,5.7,,4950.0,0.86,101.922543,-3.7192892,FALSE,sub-Jovians
90,CoRoT-24 c,Transit,11.759,0.098,5.0,28.0,,4950.0,0.86,101.922543,-3.7192892,FALSE,sub-Jovians
91,CoRoT-25 b,Transit,4.86069,0.0578,12.11,85.81,,6040.0,1.19,280.6296561,6.5138223,FALSE,Jovians
92,CoRoT-26 b,Transit,4.20474,0.0526,14.12,165.26,,5590.0,1.79,279.7504991,6.9697828,FALSE,Jovians
93,CoRoT-27 b,Transit,3.57532,0.0476,11.287,3302.11,,5900.0,1.08,278.4958319,5.5383811,FALSE,Jovians
94,CoRoT-28 b,Transit,5.20851,0.0603,10.705,153.82972,,5150.0,1.78,278.6883216,5.5736911,FALSE,Jovians
95,CoRoT-29 b,Transit,2.85057,0.0386,10.088,270.1555,,5260.0,0.9,278.9020691,6.4795703,FALSE,Jovians
96,CoRoT-3 b,Transit,4.2568,0.05783,11.32,6883.91,,6740.0,1.56,292.0552827,0.1218359,FALSE,Jovians
97,CoRoT-30 b,Transit,9.06005,0.0844,11.31,921.707,,5650.0,0.91,277.6011767,6.8359338,FALSE,Jovians
98,CoRoT-31 b,Transit,4.62941,0.0586,16.365,266.9772,,5700.0,2.15,94.820735,-4.4222978,FALSE,
99,CoRoT-4 b,Transit,9.20205,0.09,13.34,228.83,,6190.0,1.17,102.1946233,-0.6727861,FALSE,Jovians
100,CoRoT-5 b,Transit,4.0378962,0.04947,15.558,148.42,,6100.0,1.19,101.2772396,0.8152163,FALSE,
101,CoRoT-6 b,Transit,8.886593,0.0855,13.068,940.74,,6090.0,1.02,281.0725563,6.6632062,FALSE,Jovians
102,CoRoT-7 b,Transit,0.85359163,0.017016,1.681,4.07661,,5275.0,0.83,100.9561682,-1.0630076,FALSE,Super Earths
103,CoRoT-7 c,Radial Velocity,3.698,0.046,2.83,8.4,,5256.0,0.86,100.9561682,-1.0630076,FALSE,sub-Neptunes
104,CoRoT-8 b,Transit,6.21229,0.063,6.39,69.92,,5080.0,0.77,291.5885696,1.4262972,FALSE,Jovians
105,CoRoT-9 b,Transit,95.272656,0.4021,11.949,266.9772,,5625.0,0.96,280.7866461,6.2040783,FALSE,Jovians
106,CoRoTID 223977153 b,Transit,6.71837,0.071,6.389,47.6745,132.26,5970.0,0.79,100.1951714,9.2573953,FALSE,Jovians
107,DE CVn b,Eclipse Timing Variations,4098.1,5.75,12.4,3823.2733,,3579.0,0.42,201.7207198,45.5455449,FALSE,Jovians
108,DENIS-P J082303.1-491201 b,Astrometry,246.36,0.36,11.9,9057.77,,,,125.7620668,-49.2003008,,Jovians
109,DH Tau b,Imaging,,330.0,30.264,3496.0,,4371.0,0.27,67.4231674,26.5493897,FALSE,
110,DMPP-1 b,Radial Velocity,18.57,0.1462,5.29,24.27,,6196.0,1.26,86.7761233,-10.6303217,FALSE,sub-Jovians
111,DMPP-1 c,Radial Velocity,6.584,0.0733,3.06,9.6,,6196.0,1.26,86.7761233,-10.6303217,FALSE,sub-Neptunes
112,DMPP-1 d,Radial Velocity,2.882,0.0422,1.65,3.35,,6196.0,1.26,86.7761233,-10.6303217,FALSE,Super Earths
113,DMPP-1 e,Radial Velocity,5.516,0.0651,1.86,4.13,,6196.0,1.26,86.7761233,-10.6303217,FALSE,sub-Neptunes
114,DMPP-2 b,Radial Velocity,5.2072,0.0664,14.3,138.89171,,6500.0,1.78,27.407731,-34.4590985,FALSE,Jovians
115,DMPP-3 A b,Radial Velocity,6.6732,0.0662,1.41,2.58,,5138.0,0.91,91.624382,-72.5126648,FALSE,Super Earths
116,DP Leo b,Eclipse Timing Variations,10220.0,8.19,12.7,1995.88832,,13500.0,0.01,169.3162193,17.9615717,FALSE,Jovians
117,DS Tuc A b,Transit,8.138268,,5.7,413.179,145.1,5428.0,0.96,354.9154673,-69.196043,,sub-Jovians
118,EPIC 201170410.02,Transit,6.7987,0.0349,1.047,1.15,,3648.0,0.28,170.1408561,-4.8070039,FALSE,Super Earths
119,EPIC 201238110 b,Transit,28.1656,,1.87,4.16,,3587.0,0.37,179.7058532,-3.3894613,,sub-Neptunes
120,EPIC 201497682 b,Transit,2.13174,,0.692,0.26,,4991.0,0.55,168.9366786,0.4880606,,Rocky
121,EPIC 201615463 c,Transit,3.80464,,1.22,1.98,,5942.5,1.6,185.1880932,2.2823788,,Super Earths
122,EPIC 201754305 d,Transit,2.71578,,1.03,1.08,,4761.0,0.54,175.0972238,4.5574311,,Super Earths
123,EPIC 201757695.02,Transit,2.0478,0.0296,0.908,0.688,,4520.0,0.66,173.9385102,4.6164303,FALSE,Rocky
124,EPIC 201833600 c,Transit,3.96151,,1.0,0.972,,4292.67,0.63,169.483654,5.988289,,Rocky
125,EPIC 201841433 b,Transit,4.1698,0.035,1.04,1.12,,5053.0,0.63,175.206752,6.1348146,FALSE,Super Earths
126,EPIC 205950854 c,Transit,8.050722,,1.31,2.27,,5502.7,0.83,333.1100738,-16.3418863,,Super Earths
127,EPIC 206024342 b,Transit,4.50756,,1.7,3.53,,5759.0,0.82,331.2771441,-14.1218019,,Super Earths
128,EPIC 206032309 b,Transit,2.87814,,1.01,1.01,,3489.0,0.37,341.2404563,-13.9011223,,Super Earths
129,EPIC 206042996 b,Transit,5.29711,,1.62,3.26,,4055.0,0.67,337.5136198,-13.6101475,,Super Earths
130,EPIC 206215704 b,Transit,2.25372,,0.9,0.666,,3467.0,0.37,335.0949721,-9.5097112,,Rocky
131,EPIC 206317286 b,Transit,1.58252,,0.96,0.84,,4864.0,0.67,337.6178427,-7.972456,,Rocky
132,EPIC 211822797 b,Transit,21.169861,0.131,1.98,4.58,3.5,4148.21,0.57,130.4102091,17.6399744,FALSE,sub-Neptunes
133,EPIC 211945201 b,Transit,19.49221,0.1493,5.76,27.0,,6069.0,1.39,136.5741931,19.4020565,FALSE,sub-Jovians
134,EPIC 212297394 b,Transit,2.28943,,1.323,2.31,,4987.49,0.75,207.2061241,-17.6098985,,Super Earths
135,EPIC 212424622 b,Transit,18.0983,,2.17,5.35,,5782.33,1.22,202.3313765,-14.3594358,,sub-Neptunes
136,EPIC 212499991 b,Transit,34.885,,1.6,3.19,,4982.79,0.76,202.488752,-12.7347749,,Super Earths
137,EPIC 212587672 b,Transit,15.2841,,1.12,1.46,,5864.75,0.98,205.4445125,-10.8625468,,Super Earths
138,EPIC 212737443 b,Transit,13.603,0.098,2.586,7.2,,4684.0,0.67,204.2215065,-7.3180577,FALSE,sub-Neptunes
139,EPIC 212737443 c,Transit,65.55,0.28,2.69,7.7,,4684.0,0.67,204.2215065,-7.3180577,FALSE,sub-Neptunes
140,EPIC 220554210 c,Transit,0.70531,,1.48,2.79,,5523.0,1.01,13.4321524,7.9952914,,Super Earths
141,EPIC 220674823 b,Transit,0.571331,0.0134,1.82,7.72,4293.0,5617.0,0.98,13.0800239,10.7947051,FALSE,sub-Neptunes
142,EPIC 220674823 c,Transit,13.339079,0.1091,2.73,5.8,64.0,5617.0,0.98,13.0800239,10.7947051,FALSE,sub-Neptunes
143,EPIC 246851721 b,Transit,6.180235,0.07229,11.781,953.49,642.0,6202.0,1.59,78.9198197,16.2786991,FALSE,Jovians
144,EPIC 248847494 b,Transit,3650.0,4.5,12.442,4131.79,0.19,4898.0,2.7,159.3890808,11.8427484,FALSE,Jovians
145,EPIC 249893012 b,Transit,3.5951,0.047,1.95,8.75,1037.0,5430.0,1.71,228.2482353,-16.7246474,FALSE,sub-Neptunes
146,EPIC 249893012 c,Transit,15.624,0.13,3.67,14.67,160.0,5430.0,1.71,228.2482353,-16.7246474,FALSE,sub-Jovians
147,EPIC 249893012 d,Transit,35.747,0.22,3.94,10.18,53.0,5430.0,1.71,228.2482353,-16.7246474,FALSE,sub-Jovians
148,FU Tau b,Imaging,,800.0,12.2,5085.28,,2838.0,,65.8974962,25.0506711,,Jovians
149,G 264-012 b,Radial Velocity,2.30538,0.02279,1.39,2.5,20.5,3326.0,0.3,326.6719598,66.803848,FALSE,Super Earths
150,G 264-012 c,Radial Velocity,8.0518,0.0525,1.76,3.75,3.87,3326.0,0.3,326.6719598,66.803848,FALSE,sub-Neptunes
151,G 9-40 b,Transit,5.746007,0.0385,2.025,4.76,7.2,3348.0,0.31,134.7188514,21.0747961,FALSE,sub-Neptunes
152,GJ 1061 b,Radial Velocity,3.204,0.021,1.1,1.37,3.8,2953.0,0.16,54.0032486,-44.5143104,FALSE,Super Earths
153,GJ 1061 c,Radial Velocity,6.689,0.035,1.18,1.74,1.4,2953.0,0.16,54.0032486,-44.5143104,TRUE,Super Earths
154,GJ 1061 d,Radial Velocity,13.031,0.054,1.16,1.64,0.6,2953.0,0.16,54.0032486,-44.5143104,TRUE,Super Earths
155,GJ 1132 b,Transit,1.628931,0.0153,1.13,1.66,,3270.0,0.21,153.7090696,-47.1549358,FALSE,Super Earths
156,GJ 1132 c,Radial Velocity,8.929,0.0476,1.43,2.64,,3270.0,0.21,153.7090696,-47.1549358,FALSE,Super Earths
157,GJ 1148 b,Radial Velocity,41.38,0.166,11.9,96.7,,3287.0,0.36,175.4326081,42.7515862,TRUE,Jovians
158,GJ 1148 c,Radial Velocity,532.58,0.912,9.71,68.06,,3287.0,0.36,175.4326081,42.7515862,FALSE,Jovians
159,GJ 1151 b,Radial Velocity,2.018,0.01735,1.39,2.5,,3114.0,0.2,177.7304866,48.3732334,FALSE,Super Earths
160,GJ 1214 b,Transit,1.58040456,0.01411,2.847,6.26125,,3026.0,0.22,258.8313991,4.9606795,FALSE,sub-Neptunes
161,GJ 1252 b,Transit,0.5182349,0.00916,1.193,2.09,,3458.0,0.39,306.9286462,-56.4622865,FALSE,Super Earths
162,GJ 1265 b,Radial Velocity,3.6511,0.026,2.63,7.4,,3236.0,0.19,333.4324675,-17.6870623,FALSE,sub-Neptunes
163,GJ 143 b,Transit,35.61253,0.1915,2.61,22.7,4.12,4640.0,0.69,51.7501882,-63.500166,FALSE,sub-Neptunes
164,GJ 15 A b,Radial Velocity,11.4407,0.072,1.55,3.03,,3607.0,0.38,4.6126677,44.0247296,FALSE,Super Earths
165,GJ 15 A c,Radial Velocity,7600.0,5.4,6.67,36.0,,3607.0,0.38,4.6126677,44.0247296,FALSE,Jovians
166,GJ 160.2 b,Radial Velocity,5.2354,0.053,3.17,10.2,,4347.0,0.66,61.6454173,-20.8564724,FALSE,sub-Neptunes
167,GJ 163 b,Radial Velocity,8.63182,0.0607,3.25,10.6,,3500.0,0.41,62.3228353,-53.3711768,FALSE,sub-Neptunes
168,GJ 163 c,Radial Velocity,25.63058,0.1254,2.5,6.8,,3500.0,0.41,62.3228353,-53.3711768,TRUE,sub-Neptunes
169,GJ 163 d,Radial Velocity,603.95116,1.0304,5.92,29.4,,3500.0,0.41,62.3228353,-53.3711768,FALSE,sub-Jovians
170,GJ 179 b,Radial Velocity,2288.0,2.41,13.9,260.61,,3370.0,0.38,73.0245495,6.4752347,FALSE,Jovians
171,GJ 180 b,Radial Velocity,17.133,0.092,2.43,6.49,,3371.0,0.41,73.460097,-17.776194,FALSE,sub-Neptunes
172,GJ 180 c,Radial Velocity,24.329,0.129,2.41,6.4,,3371.0,0.41,73.460097,-17.776194,TRUE,sub-Neptunes
173,GJ 180 d,Radial Velocity,106.3,0.309,2.66,7.56,,3811.5,0.41,73.460097,-17.776194,TRUE,sub-Neptunes
174,GJ 2056 b,Radial Velocity,69.971,0.283,4.17,16.2,,4069.95,0.71,108.0194945,-24.8921008,TRUE,sub-Jovians
175,GJ 229 A c,Radial Velocity,121.995,0.339,2.6,7.268,,3912.54,0.46,92.6435993,-21.8677233,TRUE,sub-Neptunes
176,GJ 229 b,Radial Velocity,526.115,0.898,2.85,8.478,,3564.0,0.46,92.6435993,-21.8677233,FALSE,sub-Neptunes
177,GJ 251 b,Radial Velocity,14.238,0.0818,1.83,4.0,2.53,3451.0,0.36,103.7002499,33.2664632,FALSE,sub-Neptunes
178,GJ 27.1 b,Radial Velocity,15.819,0.101,3.66,13.0,,3542.0,0.52,9.9980016,-44.2541679,FALSE,sub-Jovians
179,GJ 273 b,Radial Velocity,18.6498,0.091101,1.51,2.89,1.06,3382.0,0.29,111.852091,5.225807,TRUE,Super Earths
180,GJ 273 c,Radial Velocity,4.7234,0.036467,1.06,1.18,6.66,3382.0,0.29,111.852091,5.225807,FALSE,Super Earths
181,GJ 3021 b,Radial Velocity,133.71,0.49,13.1,1071.04,,5540.0,0.9,4.0634323,-79.8514218,FALSE,Jovians
182,GJ 3082 b,Radial Velocity,11.949,0.079,2.79,8.2,,3910.0,0.47,18.6432425,-53.9407751,FALSE,sub-Neptunes
183,GJ 3138 b,Radial Velocity,1.22003,0.0197,1.18,1.78,118.1,3717.0,0.5,32.2977385,-16.3392495,FALSE,Super Earths
184,GJ 3138 c,Radial Velocity,5.974,0.057,1.88,4.18,13.9,3717.0,0.5,32.2977385,-16.3392495,FALSE,sub-Neptunes
185,GJ 3138 d,Radial Velocity,257.8,0.698,3.23,10.5,0.1,3717.0,0.5,32.2977385,-16.3392495,FALSE,sub-Neptunes
186,GJ 317 b,Radial Velocity,695.66,1.151,13.3,794.5,,3492.73,0.43,130.2445254,-23.452809,FALSE,Jovians
187,GJ 317 c,Radial Velocity,6739.323,5.23,13.5,522.5,,3492.73,0.43,130.2445254,-23.452809,FALSE,Jovians
188,GJ 328 b,Radial Velocity,4100.0,4.5,13.3,731.0,,3900.0,0.65,133.7819507,1.5420011,FALSE,Jovians
189,GJ 3293 b,Radial Velocity,30.5987,0.14339,5.19,23.54,1.07,3466.0,0.4,67.1484425,-25.1713396,TRUE,sub-Jovians
190,GJ 3293 c,Radial Velocity,122.6196,0.36175,4.87,21.09,0.17,3466.0,0.4,67.1484425,-25.1713396,FALSE,sub-Jovians
191,GJ 3293 d,Radial Velocity,48.1345,0.19394,2.67,7.6,0.59,3466.0,0.4,67.1484425,-25.1713396,TRUE,sub-Neptunes
192,GJ 3293 e,Radial Velocity,13.2543,0.08208,1.63,3.28,3.34,3466.0,0.4,67.1484425,-25.1713396,FALSE,Super Earths
193,GJ 3323 b,Radial Velocity,5.3636,0.03282,1.23,2.02,2.58,3159.0,0.12,75.4868824,-6.9485133,TRUE,Super Earths
194,GJ 3323 c,Radial Velocity,40.54,0.1264,1.32,2.31,0.17,3159.0,0.12,75.4868824,-6.9485133,FALSE,Super Earths
195,GJ 3341 b,Radial Velocity,14.207,0.089,2.46,6.6,,3526.0,0.44,78.9471415,-31.2948458,FALSE,sub-Neptunes
196,GJ 338 B b,Radial Velocity,24.45,0.141,3.19,10.27,,4005.0,0.58,138.5916722,52.6835211,FALSE,sub-Neptunes
197,GJ 3470 b,Radial Velocity,3.3366496,0.0355,4.57,13.9,,3600.0,0.55,119.7735021,15.391209,FALSE,sub-Jovians
198,GJ 3473 b,Transit,1.1980035,0.01589,1.264,1.86,59.4,3347.0,0.36,120.5936065,3.3371629,FALSE,Super Earths
199,GJ 3473 c,Radial Velocity,15.509,0.0876,2.63,7.41,1.95,3347.0,0.36,120.5936065,3.3371629,FALSE,sub-Neptunes
200,GJ 3512 b,Radial Velocity,203.59,0.338,14.3,147.15529,,3081.0,0.14,130.3316616,59.4918364,FALSE,Jovians
201,GJ 357 b,Transit,3.93072,0.035,1.217,1.84,12.6,3505.0,0.34,144.0074644,-21.6650634,FALSE,Super Earths
202,GJ 357 c,Radial Velocity,9.1247,0.061,1.66,3.4,4.45,3505.0,0.34,144.0074644,-21.6650634,FALSE,Super Earths
203,GJ 357 d,Radial Velocity,55.661,0.204,2.34,6.1,0.38,3505.0,0.34,144.0074644,-21.6650634,TRUE,sub-Neptunes
